Epoch [1/150] | KD Loss: 0.9813 | LR: 0.000031
Epoch [2/150] | KD Loss: 0.9683 | LR: 0.000033
Epoch [3/150] | KD Loss: 0.9606 | LR: 0.000036
Epoch [4/150] | KD Loss: 0.9520 | LR: 0.000041
Epoch [5/150] | KD Loss: 0.9462 | LR: 0.000047
Epoch [6/150] | KD Loss: 0.9366 | LR: 0.000055
Epoch [7/150] | KD Loss: 0.9282 | LR: 0.000063
Epoch [8/150] | KD Loss: 0.9157 | LR: 0.000073
Epoch [9/150] | KD Loss: 0.9030 | LR: 0.000085
Epoch [10/150] | KD Loss: 0.8854 | LR: 0.000097
Epoch [11/150] | KD Loss: 0.8659 | LR: 0.000110
Epoch [12/150] | KD Loss: 0.8396 | LR: 0.000125
Epoch [13/150] | KD Loss: 0.8058 | LR: 0.000140
Epoch [14/150] | KD Loss: 0.7624 | LR: 0.000156
Epoch [15/150] | KD Loss: 0.7060 | LR: 0.000173
Epoch [16/150] | KD Loss: 0.6394 | LR: 0.000190
Epoch [17/150] | KD Loss: 0.5758 | LR: 0.000209
Epoch [18/150] | KD Loss: 0.5319 | LR: 0.000227
Epoch [19/150] | KD Loss: 0.5073 | LR: 0.000247
Epoch [20/150] | KD Loss: 0.4933 | LR: 0.000266
Epoch [21/150] | KD Loss: 0.4839 | LR: 0.000286
Epoch [22/150] | KD Loss: 0.4754 | LR: 0.000306
Epoch [23/150] | KD Loss: 0.4719 | LR: 0.000326
Epoch [24/150] | KD Loss: 0.4706 | LR: 0.000345
Epoch [25/150] | KD Loss: 0.4712 | LR: 0.000365
Epoch [26/150] | KD Loss: 0.4715 | LR: 0.000385
Epoch [27/150] | KD Loss: 0.4753 | LR: 0.000404
Epoch [28/150] | KD Loss: 0.4761 | LR: 0.000422
Epoch [29/150] | KD Loss: 0.4816 | LR: 0.000441
Epoch [30/150] | KD Loss: 0.5008 | LR: 0.000458
Epoch [31/150] | KD Loss: 0.5070 | LR: 0.000475
Epoch [32/150] | KD Loss: 0.5094 | LR: 0.000491
Epoch [33/150] | KD Loss: 0.4888 | LR: 0.000506
Epoch [34/150] | KD Loss: 0.4844 | LR: 0.000521
Epoch [35/150] | KD Loss: 0.4837 | LR: 0.000534
Epoch [36/150] | KD Loss: 0.4811 | LR: 0.000546
Epoch [37/150] | KD Loss: 0.4834 | LR: 0.000557
Epoch [38/150] | KD Loss: 0.4788 | LR: 0.000567
Epoch [39/150] | KD Loss: 0.4769 | LR: 0.000576
Epoch [40/150] | KD Loss: 0.4780 | LR: 0.000583
Epoch [41/150] | KD Loss: 0.4806 | LR: 0.000589
Epoch [42/150] | KD Loss: 0.4763 | LR: 0.000594
Epoch [43/150] | KD Loss: 0.4891 | LR: 0.000597
Epoch [44/150] | KD Loss: 0.4963 | LR: 0.000599
Epoch [45/150] | KD Loss: 0.5149 | LR: 0.000600
Epoch [46/150] | KD Loss: 0.5140 | LR: 0.000600
Epoch [47/150] | KD Loss: 0.5023 | LR: 0.000599
Epoch [48/150] | KD Loss: 0.4860 | LR: 0.000599
Epoch [49/150] | KD Loss: 0.4779 | LR: 0.000598
Epoch [50/150] | KD Loss: 0.4770 | LR: 0.000597
Epoch [51/150] | KD Loss: 0.4769 | LR: 0.000595
Epoch [52/150] | KD Loss: 0.4730 | LR: 0.000593
Epoch [53/150] | KD Loss: 0.4739 | LR: 0.000591
Epoch [54/150] | KD Loss: 0.4728 | LR: 0.000589
Epoch [55/150] | KD Loss: 0.4700 | LR: 0.000587
Epoch [56/150] | KD Loss: 0.4713 | LR: 0.000584
Epoch [57/150] | KD Loss: 0.4738 | LR: 0.000581
Epoch [58/150] | KD Loss: 0.4664 | LR: 0.000577
Epoch [59/150] | KD Loss: 0.4719 | LR: 0.000574
Epoch [60/150] | KD Loss: 0.4735 | LR: 0.000570
Epoch [61/150] | KD Loss: 0.4745 | LR: 0.000566
Epoch [62/150] | KD Loss: 0.4742 | LR: 0.000562
Epoch [63/150] | KD Loss: 0.4735 | LR: 0.000557
Epoch [64/150] | KD Loss: 0.4737 | LR: 0.000553
Epoch [65/150] | KD Loss: 0.4747 | LR: 0.000548
Epoch [66/150] | KD Loss: 0.4731 | LR: 0.000542
Epoch [67/150] | KD Loss: 0.4734 | LR: 0.000537
Epoch [68/150] | KD Loss: 0.4755 | LR: 0.000531
Epoch [69/150] | KD Loss: 0.4741 | LR: 0.000526
Epoch [70/150] | KD Loss: 0.4693 | LR: 0.000520
Epoch [71/150] | KD Loss: 0.4689 | LR: 0.000513
Epoch [72/150] | KD Loss: 0.4682 | LR: 0.000507
Epoch [73/150] | KD Loss: 0.4685 | LR: 0.000500
Epoch [74/150] | KD Loss: 0.4689 | LR: 0.000494
Epoch [75/150] | KD Loss: 0.4670 | LR: 0.000487
Epoch [76/150] | KD Loss: 0.4658 | LR: 0.000480
Epoch [77/150] | KD Loss: 0.4685 | LR: 0.000472
Epoch [78/150] | KD Loss: 0.4660 | LR: 0.000465
Epoch [79/150] | KD Loss: 0.4670 | LR: 0.000457
Epoch [80/150] | KD Loss: 0.4656 | LR: 0.000450
Epoch [81/150] | KD Loss: 0.4659 | LR: 0.000442
Epoch [82/150] | KD Loss: 0.4640 | LR: 0.000434
Epoch [83/150] | KD Loss: 0.4632 | LR: 0.000426
Epoch [84/150] | KD Loss: 0.4635 | LR: 0.000417
Epoch [85/150] | KD Loss: 0.4663 | LR: 0.000409
Epoch [86/150] | KD Loss: 0.4653 | LR: 0.000401
Epoch [87/150] | KD Loss: 0.4669 | LR: 0.000392
Epoch [88/150] | KD Loss: 0.4656 | LR: 0.000384
Epoch [89/150] | KD Loss: 0.4650 | LR: 0.000375
Epoch [90/150] | KD Loss: 0.4661 | LR: 0.000366
Epoch [91/150] | KD Loss: 0.4636 | LR: 0.000358
Epoch [92/150] | KD Loss: 0.4630 | LR: 0.000349
Epoch [93/150] | KD Loss: 0.4655 | LR: 0.000340
Epoch [94/150] | KD Loss: 0.4652 | LR: 0.000331
Epoch [95/150] | KD Loss: 0.4635 | LR: 0.000322
Epoch [96/150] | KD Loss: 0.4662 | LR: 0.000313
Epoch [97/150] | KD Loss: 0.4642 | LR: 0.000304
Epoch [98/150] | KD Loss: 0.4634 | LR: 0.000295
Epoch [99/150] | KD Loss: 0.4660 | LR: 0.000286
Epoch [100/150] | KD Loss: 0.4676 | LR: 0.000277
Epoch [101/150] | KD Loss: 0.4642 | LR: 0.000268
Epoch [102/150] | KD Loss: 0.4630 | LR: 0.000259
Epoch [103/150] | KD Loss: 0.4630 | LR: 0.000250
Epoch [104/150] | KD Loss: 0.4631 | LR: 0.000242
Epoch [105/150] | KD Loss: 0.4617 | LR: 0.000233
Epoch [106/150] | KD Loss: 0.4615 | LR: 0.000224
Epoch [107/150] | KD Loss: 0.4646 | LR: 0.000216
Epoch [108/150] | KD Loss: 0.4644 | LR: 0.000207
Epoch [109/150] | KD Loss: 0.4655 | LR: 0.000198
Epoch [110/150] | KD Loss: 0.4657 | LR: 0.000190
Epoch [111/150] | KD Loss: 0.4619 | LR: 0.000182
Epoch [112/150] | KD Loss: 0.4656 | LR: 0.000174
Epoch [113/150] | KD Loss: 0.4648 | LR: 0.000166
Epoch [114/150] | KD Loss: 0.4665 | LR: 0.000158
Epoch [115/150] | KD Loss: 0.4666 | LR: 0.000150
Epoch [116/150] | KD Loss: 0.4614 | LR: 0.000142
Epoch [117/150] | KD Loss: 0.4632 | LR: 0.000134
Epoch [118/150] | KD Loss: 0.4634 | LR: 0.000127
Epoch [119/150] | KD Loss: 0.4654 | LR: 0.000120
Epoch [120/150] | KD Loss: 0.4650 | LR: 0.000113
Epoch [121/150] | KD Loss: 0.4587 | LR: 0.000106
Epoch [122/150] | KD Loss: 0.4631 | LR: 0.000099
Epoch [123/150] | KD Loss: 0.4632 | LR: 0.000093
Epoch [124/150] | KD Loss: 0.4620 | LR: 0.000086
Epoch [125/150] | KD Loss: 0.4631 | LR: 0.000080
Epoch [126/150] | KD Loss: 0.4646 | LR: 0.000074
Epoch [127/150] | KD Loss: 0.4641 | LR: 0.000068
Epoch [128/150] | KD Loss: 0.4646 | LR: 0.000063
Epoch [129/150] | KD Loss: 0.4626 | LR: 0.000057
Epoch [130/150] | KD Loss: 0.4656 | LR: 0.000052
Epoch [131/150] | KD Loss: 0.4659 | LR: 0.000047
Epoch [132/150] | KD Loss: 0.4646 | LR: 0.000042
Epoch [133/150] | KD Loss: 0.4630 | LR: 0.000038
Epoch [134/150] | KD Loss: 0.4603 | LR: 0.000034
Epoch [135/150] | KD Loss: 0.4687 | LR: 0.000030
Epoch [136/150] | KD Loss: 0.4658 | LR: 0.000026
Epoch [137/150] | KD Loss: 0.4662 | LR: 0.000022
Epoch [138/150] | KD Loss: 0.4648 | LR: 0.000019
Epoch [139/150] | KD Loss: 0.4654 | LR: 0.000016
Epoch [140/150] | KD Loss: 0.4631 | LR: 0.000013
Epoch [141/150] | KD Loss: 0.4644 | LR: 0.000011
Epoch [142/150] | KD Loss: 0.4659 | LR: 0.000009
Epoch [143/150] | KD Loss: 0.4611 | LR: 0.000007
Epoch [144/150] | KD Loss: 0.4639 | LR: 0.000005
Epoch [145/150] | KD Loss: 0.4620 | LR: 0.000004
Epoch [146/150] | KD Loss: 0.4626 | LR: 0.000002
Epoch [147/150] | KD Loss: 0.4634 | LR: 0.000001
Epoch [148/150] | KD Loss: 0.4621 | LR: 0.000001
Epoch [149/150] | KD Loss: 0.4617 | LR: 0.000000
Epoch [150/150] | KD Loss: 0.4648 | LR: 0.000000

✅ Training completed! Model saved as distilled_student_model_lowest.pth
